Year,Rank,ADMName,area_km2,Deforestation_pct_of_ADM
2015,1,Chiquitos,418.80,1.05
2015,2,Velasco,226.20,0.33
2015,3,Cordillera,167.90,0.20
2015,4,Ñuflo_De_Chávez,136.70,
2015,5,Guarayos,121.30,0.36
2016,1,Chiquitos,1156.40,2.90
2016,2,Velasco,547.10,0.80
2016,3,Ñuflo_De_Chávez,471.10,
2016,4,Guarayos,445.20,1.33
2016,5,Cordillera,325.70,0.39
2017,1,Velasco,896.70,1.30
2017,2,Chiquitos,716.00,1.80
2017,3,Ñuflo_De_Chávez,497.90,
2017,4,Germán_Busch,342.70,
2017,5,Cordillera,308.80,0.37
2018,1,Chiquitos,701.80,1.76
2018,2,Velasco,601.90,0.88
2018,3,Cordillera,276.30,0.33
2018,4,Ñuflo_De_Chávez,257.30,
2018,5,Guarayos,187.10,0.56
2019,1,Cordillera,3228.80,3.86
2019,2,Chiquitos,1284.60,3.22
2019,3,Ñuflo_De_Chávez,804.60,
2019,4,Velasco,751.80,1.09
2019,5,Germán_Busch,751.20,
2020,1,Velasco,904.60,1.32
2020,2,Ñuflo_De_Chávez,703.70,
2020,3,Chiquitos,392.60,0.98
2020,4,Guarayos,375.80,1.13
2020,5,Cordillera,249.00,0.30
2021,1,Cordillera,1133.40,1.36
2021,2,Velasco,915.10,1.33
2021,3,Ñuflo_De_Chávez,790.30,
2021,4,Chiquitos,618.20,1.55
2021,5,Guarayos,454.90,1.36
2022,1,Velasco,1308.30,1.90
2022,2,Guarayos,966.70,2.90
2022,3,Ñuflo_De_Chávez,719.10,
2022,4,Chiquitos,703.00,1.76
2022,5,Cordillera,361.70,0.43
2023,1,Velasco,1061.10,1.54
2023,2,General_José_Ballivián,1059.50,
2023,3,Ñuflo_De_Chávez,1054.30,
2023,4,Chiquitos,669.10,1.68
2023,5,Guarayos,421.60,1.26
2024,1,Guarayos,3958.40,11.87
2024,2,Velasco,2898.20,4.22
2024,3,Ñuflo_De_Chávez,2757.70,
2024,4,Angel_Sandoval,1845.50,
2024,5,Vaca_Diez,983.90,
